date,open,high,low,close,volume,last_earnings_date,days_since_earning,month,day_of_week,quarter,year,is_month_end,is_month_start,rolling_volatility,return_1d,cumulative_return,time_idx,unique_id
8/17/23,226.0599976,226.7400055,218.8300018,219.2200012,120718400,2023-07-19 16:05:00-04:00,28,8,3,3,2023,0,0,11.28257319,-0.028280163,137.6433388,270,TSLA
8/18/23,214.1199951,217.5800018,212.3600006,215.4900055,136276600,2023-07-19 16:05:00-04:00,29,8,4,3,2023,0,0,12.59643983,-0.017014851,135.3013579,271,TSLA
8/21/23,221.5500031,232.1300049,220.5800018,231.2799988,135702700,2023-07-19 16:05:00-04:00,32,8,0,3,2023,0,0,11.49161062,0.073274829,145.2155417,272,TSLA
8/22/23,240.25,240.8200073,229.5500031,233.1900024,130442800,2023-07-19 16:05:00-04:00,33,8,1,3,2023,0,0,10.16124235,0.008258404,146.4147903,273,TSLA
8/23/23,229.3399963,238.9799957,229.2899933,236.8600006,101077600,2023-07-19 16:05:00-04:00,34,8,2,3,2023,0,0,9.74330009,0.015738231,148.7191001,274,TSLA
8/24/23,238.6600037,238.9199982,228.1799927,230.0399933,99777400,2023-07-19 16:05:00-04:00,35,8,3,3,2023,0,0,8.589756203,-0.028793411,144.43697,275,TSLA
8/25/23,231.3099976,239,230.3500061,238.5899963,106612200,2023-07-19 16:05:00-04:00,36,8,4,3,2023,0,0,8.040848056,0.037167463,149.8053258,276,TSLA
8/28/23,242.5800018,244.3800049,235.3500061,238.8200073,107673700,2023-07-19 16:05:00-04:00,39,8,0,3,2023,0,0,7.922583258,0.000964043,149.9497445,277,TSLA
8/29/23,238.5800018,257.480011,237.7700043,257.1799927,134047600,2023-07-19 16:05:00-04:00,40,8,1,3,2023,0,0,11.67288042,0.07687792,161.477569,278,TSLA
8/30/23,254.1999969,260.5100098,250.5899963,256.8999939,121988400,2023-07-19 16:05:00-04:00,41,8,2,3,2023,0,0,13.61427305,-0.001088727,161.301764,279,TSLA
8/31/23,255.9799957,261.1799927,255.0500031,258.0799866,108861700,2023-07-19 16:05:00-04:00,42,8,3,3,2023,1,0,13.91230268,0.004593199,162.042655,280,TSLA
9/1/23,257.2600098,259.0799866,242.0099945,245.0099945,132541600,2023-07-19 16:05:00-04:00,43,9,4,3,2023,0,1,11.05674322,-0.050643183,153.8362991,281,TSLA
9/5/23,245,258,244.8600006,256.4899902,129469600,2023-07-19 16:05:00-04:00,47,9,1,3,2023,0,0,11.06421378,0.046855214,161.0443319,282,TSLA
9/6/23,255.1399994,255.3899994,245.0599976,251.9199982,116959800,2023-07-19 16:05:00-04:00,48,9,2,3,2023,0,0,10.38554175,-0.017817429,158.174936,283,TSLA
9/7/23,245.0700073,252.8099976,243.2700043,251.4900055,115312900,2023-07-19 16:05:00-04:00,49,9,3,3,2023,0,0,9.814921465,-0.001706862,157.9049532,284,TSLA
9/8/23,251.2200012,256.519989,246.6699982,248.5,118367700,2023-07-19 16:05:00-04:00,50,9,4,3,2023,0,0,7.408084409,-0.011889162,156.0275956,285,TSLA
9/11/23,264.269989,274.8500061,260.6099854,273.5799866,174667900,2023-07-19 16:05:00-04:00,53,9,0,3,2023,0,0,9.28835162,0.100925499,171.7747586,286,TSLA
9/12/23,270.7600098,278.3900146,266.6000061,267.480011,135999900,2023-07-19 16:05:00-04:00,54,9,1,3,2023,0,0,8.545540987,-0.022296863,167.9447202,287,TSLA
9/13/23,270.0700073,274.980011,268.1000061,271.2999878,111673700,2023-07-19 16:05:00-04:00,55,9,2,3,2023,0,0,9.725529156,0.014281354,170.3431983,288,TSLA
9/14/23,271.3200073,276.7099915,270.4200134,276.0400085,107709800,2023-07-19 16:05:00-04:00,56,9,3,3,2023,0,0,11.23486789,0.017471511,173.3193514,289,TSLA
9/15/23,277.5499878,278.980011,271,274.3900146,133692300,2023-07-19 16:05:00-04:00,57,9,4,3,2023,0,0,12.07910776,-0.005977372,172.2833571,290,TSLA
9/18/23,271.1600037,271.4400024,263.7600098,265.2799988,101543300,2023-07-19 16:05:00-04:00,60,9,0,3,2023,0,0,10.59118928,-0.033200974,166.5633817,291,TSLA
9/19/23,264.3500061,267.8500061,261.2000122,266.5,103704000,2023-07-19 16:05:00-04:00,61,9,1,3,2023,0,0,10.30887644,0.004598919,167.3293932,292,TSLA
9/20/23,267.0400085,273.9299927,262.4599915,262.5899963,122514600,2023-07-19 16:05:00-04:00,62,9,2,3,2023,0,0,9.35298431,-0.014671684,164.8743893,293,TSLA
9/21/23,257.8500061,260.8599854,254.2100067,255.6999969,119951500,2023-07-19 16:05:00-04:00,63,9,3,3,2023,0,0,8.714497795,-0.026238621,160.5483127,294,TSLA
9/22/23,257.3999939,257.7900085,244.4799957,244.8800049,127524100,2023-07-19 16:05:00-04:00,64,9,4,3,2023,0,0,9.562430205,-0.042315183,153.7546816,295,TSLA
9/25/23,243.3800049,247.1000061,238.3099976,246.9900055,104636600,2023-07-19 16:05:00-04:00,67,9,0,3,2023,0,0,10.7711703,0.008616468,155.0795038,296,TSLA
9/26/23,242.9799957,249.5500031,241.6600037,244.1199951,101993600,2023-07-19 16:05:00-04:00,68,9,1,3,2023,0,0,12.16256075,-0.011619945,153.2774884,297,TSLA
9/27/23,244.2599945,245.3300018,234.5800018,240.5,136597200,2023-07-19 16:05:00-04:00,69,9,2,3,2023,0,0,13.06834062,-0.014828753,151.0045744,298,TSLA
9/28/23,240.0200043,247.5500031,238.6499939,246.3800049,117058900,2023-07-19 16:05:00-04:00,70,9,3,3,2023,0,0,11.74161326,0.024449085,154.696498,299,TSLA
9/29/23,250,254.7700043,246.3500061,250.2200012,128522700,2023-07-19 16:05:00-04:00,71,9,4,3,2023,0,0,9.523884585,0.015585665,157.1075459,300,TSLA
10/2/23,244.8099976,254.2799988,242.6199951,251.6000061,123810400,2023-07-19 16:05:00-04:00,74,10,0,4,2023,0,0,8.367082136,0.005515166,157.9740201,301,TSLA
10/3/23,248.6100006,250.0200043,244.4499969,246.5299988,101985300,2023-07-19 16:05:00-04:00,75,10,1,4,2023,0,0,6.393108712,-0.020151062,154.7906758,302,TSLA
10/4/23,248.1399994,261.8599854,247.6000061,261.1600037,129721600,2023-07-19 16:05:00-04:00,76,10,2,4,2023,0,0,6.061532766,0.059343711,163.9765289,303,TSLA
10/5/23,260,263.6000061,256.25,260.0499878,119159200,2023-07-19 16:05:00-04:00,77,10,3,4,2023,0,0,6.73028005,-0.004250329,163.2795747,304,TSLA
10/6/23,253.9799957,261.6499939,250.6499939,260.5299988,118121800,2023-07-19 16:05:00-04:00,78,10,4,4,2023,0,0,7.390221657,0.001845841,163.5809629,305,TSLA
10/9/23,255.3099976,261.3599854,252.0500031,259.6700134,101377900,2023-07-19 16:05:00-04:00,81,10,0,4,2023,0,0,7.741793651,-0.003300907,163.0409973,306,TSLA
10/10/23,257.75,268.9400024,257.6499939,263.6199951,122656000,2023-07-19 16:05:00-04:00,82,10,1,4,2023,0,0,7.967706291,0.015211543,165.5211025,307,TSLA
10/11/23,266.2000122,268.6000061,260.8999939,262.9899902,103706300,2023-07-19 16:05:00-04:00,83,10,2,4,2023,0,0,6.816479434,-0.002389822,165.1255366,308,TSLA
10/12/23,262.9200134,265.4100037,256.6300049,258.8699951,111508100,2023-07-19 16:05:00-04:00,84,10,3,4,2023,0,0,5.882201142,-0.015665977,162.5386837,309,TSLA
10/13/23,258.8999939,259.6000061,250.2200012,251.1199951,102073800,2023-07-19 16:05:00-04:00,85,10,4,4,2023,0,0,5.763722714,-0.029937807,157.6726319,310,TSLA
10/16/23,250.0500031,255.3999939,248.4799957,253.9199982,88917200,2023-07-19 16:05:00-04:00,88,10,0,4,2023,0,0,5.536984676,0.01115006,159.4306913,311,TSLA
10/17/23,250.1000061,257.1799927,247.0800018,254.8500061,93562900,2023-07-19 16:05:00-04:00,89,10,1,4,2023,0,0,4.081471371,0.003662602,160.0146225,312,TSLA
10/18/23,252.6999969,254.6300049,242.0800018,242.6799927,125147800,2023-07-19 16:05:00-04:00,90,10,2,4,2023,0,0,6.3731244,-0.047753632,152.3733431,313,TSLA
10/19/23,225.9499969,230.6100006,216.7799988,220.1100006,170772700,2023-10-18 16:08:00-04:00,0,10,3,4,2023,0,0,13.09800658,-0.093003102,138.2021495,314,TSLA
10/20/23,217.0099945,218.8600006,210.4199982,211.9900055,138010100,2023-10-18 16:08:00-04:00,1,10,4,4,2023,0,0,18.00495118,-0.036890623,133.1037861,315,TSLA
10/23/23,210,216.9799957,202.5099945,212.0800018,150683400,2023-10-18 16:08:00-04:00,4,10,0,4,2023,0,0,20.66523441,0.000424531,133.1602928,316,TSLA
10/24/23,216.5,222.0500031,214.1100006,216.5200043,118231100,2023-10-18 16:08:00-04:00,5,10,1,4,2023,0,0,20.8663437,0.020935507,135.9480711,317,TSLA
10/25/23,215.8800049,220.1000061,212.1999969,212.4199982,107065100,2023-10-18 16:08:00-04:00,6,10,2,4,2023,0,0,20.3977882,-0.018935923,133.3737689,318,TSLA
10/26/23,211.3200073,214.8000031,204.8800049,205.7599945,115112600,2023-10-18 16:08:00-04:00,7,10,3,4,2023,0,0,19.95483289,-0.031352997,129.1921014,319,TSLA
10/27/23,210.6000061,212.4100037,205.7700043,207.3000031,94881200,2023-10-18 16:08:00-04:00,8,10,4,4,2023,0,0,19.14390678,0.00748449,130.1590384,320,TSLA
10/30/23,209.2799988,210.8800049,194.6699982,197.3600006,136448200,2023-10-18 16:08:00-04:00,11,10,0,4,2023,0,0,17.53147349,-0.047949842,123.917933,321,TSLA
10/31/23,196.1199951,202.8000031,194.0700073,200.8399963,118068300,2023-10-18 16:08:00-04:00,12,10,1,4,2023,1,0,12.57230618,0.017632731,126.1029446,322,TSLA
11/1/23,204.0399933,205.9900055,197.8500061,205.6600037,121661700,2023-10-18 16:08:00-04:00,13,11,2,4,2023,0,1,6.965979198,0.02399924,129.1293194,323,TSLA
11/2/23,212.9700012,219.1999969,211.4499969,218.5099945,125987600,2023-10-18 16:08:00-04:00,14,11,3,4,2023,0,0,6.695674213,0.06248172,137.1975415,324,TSLA
11/3/23,221.1499939,226.3699951,218.3999939,219.9600067,119534800,2023-10-18 16:08:00-04:00,15,11,4,4,2023,0,0,7.53366251,0.006635908,138.1079717,325,TSLA
11/6/23,223.9799957,226.3200073,215,219.2700043,117335800,2023-10-18 16:08:00-04:00,18,11,0,4,2023,0,0,8.113117033,-0.003136945,137.6747346,326,TSLA
11/7/23,219.9799957,223.1199951,215.7200012,222.1799927,116900100,2023-10-18 16:08:00-04:00,19,11,1,4,2023,0,0,8.762083925,0.013271256,139.5018513,327,TSLA
